year,duration,avg_vote,votes,metascore,reviews_from_users,reviews_from_critics,Action,Adventure,Animation,Biography,Comedy,Crime,Drama,Family,Fantasy,History,Horror,Music,Musical,Mystery,Romance,Sci-Fi,Sport,Thriller,War,Western
2001,103,6.7,37285,52.0,182.0,95.0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2001,116,7.3,4478,79.0,29.0,64.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,97,6.1,23187,32.0,168.0,54.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,121,6.4,10509,48.0,135.0,71.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0
2001,95,5.6,2714,53.0,42.0,36.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,90,5.3,8248,35.0,127.0,60.0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2001,114,5.9,125517,48.0,428.0,113.0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2001,116,5.9,950,26.0,26.0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0
2001,119,7.1,4468,73.0,28.0,48.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,117,6.9,1064,72.0,18.0,16.0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
2001,103,6.8,1552,73.0,26.0,39.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,90,6.2,6146,35.0,33.0,39.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,83,5.3,147183,29.0,560.0,135.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2001,112,7.2,5464,56.0,88.0,49.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,98,7.9,43962,84.0,181.0,107.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,85,6.8,6394,76.0,56.0,103.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
2001,86,4.5,213,51.0,28.0,6.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,90,6.9,1681,86.0,25.0,49.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,102,6.6,245,58.0,19.0,17.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,78,5.0,683,64.0,19.0,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
2001,88,6.6,146,49.0,4.0,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2001,91,5.2,773,54.0,17.0,25.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,88,6.2,4544,56.0,54.0,62.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
2001,115,7.3,13255,82.0,63.0,83.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,87,6.8,16911,50.0,131.0,109.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,92,7.3,1376,77.0,5.0,13.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,95,6.5,4466,46.0,94.0,16.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,132,7.7,141155,28.0,462.0,117.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,120,6.7,279,81.0,6.0,10.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,99,6.5,23602,61.0,166.0,85.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0
2001,120,7.7,89959,60.0,176.0,115.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2001,89,5.7,95477,32.0,404.0,96.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,106,6.4,4160,50.0,44.0,51.0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,99,4.8,2439,19.0,39.0,20.0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,103,6.9,733,49.0,3.0,4.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,81,6.8,1028,39.0,7.0,21.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2001,89,5.6,24178,29.0,193.0,102.0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0
2001,117,6.1,611,45.0,17.0,15.0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,111,5.9,1255,48.0,54.0,18.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
2001,98,6.8,23225,56.0,111.0,101.0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,100,6.1,327,57.0,5.0,16.0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2001,80,4.0,377,32.0,17.0,11.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
